"Модуль","Код документа","Документ / что загрузить","Обязательность","Когда появляется","Какие поля заявки влияют","Что проверяется","Статус правила","Источник"
"Модуль 1","1.1","1. Документ, подтверждающий оплату экспертных работ","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Заявка на платеж заполнено","Основное: Заявка на платеж; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: 1. Документ, подтверждающий оплату экспертных работ | Учесть условие из памятки: Сведения, подтверждающие оплату заявителем на расчетный счет государственной экспертной организации суммы для проведения экспертизы","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.1.sub1","2. Доверенность от ДРУ заявителю для осуществления действий по подаче заявлений, ведения переписки и подписания договоров, заявления, актов, счетов и других документов, в том числе финансовые, необходимые в процессе экспертизы ЛС при регистрации, перерегистрации и внесении изменений в регистрационное досье лекарственных средств и выполнять любые иные действия необходимые в процессе экспертизы ЛС/МИ при регистрации, перерегистрации и внесении изменений в регистрационное досье лекарственных средств","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); (Заявитель не равно param-holder или Заявитель действует как представитель держателя РУ = Да)","Нет в текущей форме / требуется уточнение: Заявитель действует как представитель держателя РУ; Основное: Заявитель; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: 2. Доверенность от ДРУ заявителю для осуществления действий по подаче заявлений, ведения переписки и подписания договоров, заявления, актов, счетов и других документов, в том числе финансовые, необходимые в процессе экспертизы ЛС при регистрации, перерегистрации и внесении изменений в регистрационное досье лекарственных средств и выполнять любые иные действия необходимые в процессе экспертизы ЛС/МИ при регистрации, перерегистрации и внесении изменений в регистрационное досье лекарственных средств","Нужно экспертно проверить формулировку","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.1.sub2","Сопроводительное письмо (если применимо)","Если применимо / требуется экспертное решение","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Экспертно/если применимо: пояснения/обоснование требуется по выбранной процедуре или комплекту документов","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Сопроводительное письмо (если применимо) | Учесть условие из памятки: Сопроводительное письмо может содержать пояснения по заявке.","Нужно экспертно проверить формулировку","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.1.sub3","Разрешение уполномоченного органа на ускоренную экспертизы (если применимо)","Условие есть, но требуется уточнить/добавить поле в форме","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Режим экспертизы = Ускоренная","Основное: Режим экспертизы; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Разрешение уполномоченного органа на ускоренную экспертизы (если применимо)","Не хватает явного поля или значения в форме","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.2","Заявление на проведение экспертизы лекарственного средства, оформленное по форме согласно Приложения 1 к Правилам проведения экспертизы лекарственных средств.","Обязателен всегда в рамках ЛС + регистрация при выбранной структуре досье","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан)","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Заявление на проведение экспертизы лекарственного средства, оформленное по форме согласно Приложения 1 к Правилам проведения экспертизы лекарственных средств. | Учесть условие из памятки: 1.На экспертизу различных лекарственных форм одного и того же лекарственного препарата заявитель представляет заявление и регистрационное досье на каждую лекарственную форму. 2.В случае одновременной подачи на экспертизу лекарственного препарата в одной лекарственной форме, с различной дозировкой, концентрацией, объемом заполнения заявитель представляет одно заявление и регистрационное досье с приложением макетов упаковок и этикеток на каждую дозировку, концентрацию, объем заполнения и количество доз в упаковке, а также нормативного документа по качеству в случае различия в методиках контроля. 3. В разделе 14 «Полный качественный и количественный состав» просим указывать наименование, адрес производственной площадки и этап производства для каждой производственной площадки, участвующей в процессе производства каждой АФС. Информация по этапу производства АФС заполняется в скобках после указания фактического адреса площадки в разделе 14 заявления в столбце «Производитель, страна и адрес производственной площадки». Для биологических лекарственных препаратов должны быть перечислены все площадки, осуществляющие хранение главного и рабочего банков клеток, и площадки, осуществляющие приготовление рабочего банка клеток. Информация, указанная в разделе 14 заявления должна соответствовать данным раздела регистрационного досье 3.2.S.2.1. Производитель. 5. В разделе 22. «Производитель (и) лекарственного препарата и участок (и) производства» просим указывать актуальные данные должностных лиц. Информация, указанная в разделе 22 заявления должна соответствовать данным раздела регистрационного досье 3.2.Р.3.1. Производитель. 4. Для препаратов крови и вакцин необходимо указать в разделе 23 данные о лаборатории, ответственной за контроль качества/ выпуск серии. 5.При подаче процедуры внесения изменений типа IА, в разделе 24 Изменения, вносимые в регистрационное досье в рамках одного заявления допускается указание нескольких несущественных изменениях типа IА, касающихся одного регистрационного удостоверения. 6. При подаче процедуры внесения изменений типа IБ допускается в рамках одного заявления уведомление о нескольких изменениях типа IБ, касающихся одного регистрационного удостоверения, или группировка одного или нескольких изменений типа IБ с другими изменениями типа IА, связанными с одним регистрационным удостоверением, при условии, что такая группировка соответствует условиям, перечисленным в приложении 18 к настоящим Правилам; 7. В случае внесения изменения типа IБ, влекущего за собой другие последовательные изменения типа IА и типа IБ, подается одно заявление, содержащее все последовательные изменения типа I. 8. В случае внесения значительных изменений типа II, заявление должно содержать одно изменение типа II. В случае внесения нескольких изменений типа II, отдельное заявление подается относительно каждого изменения, каждое заявление содержит ссылки на другое заявление. 9. в случае если изменение типа II приводит к другим последовательным изменениям типа II, одно заявление включает все последовательные изменения вместе с описанием соответствий между такими последовательными изменениями типа II. 10. В случае если изменение типа II приводит к другим последовательным изменениям типа I, одно заявление включает все последовательные изменения вместе с описанием соответствий между такими последовательными изменениями типа I и II. 11. При внесении изменений, требующих новой регистрации лекарственного препарата, заявитель представляет заявление по форме согласно приложению 1 к настоящим Правилам с указанием типа процедуры ""регистрация"" и документы согласно приложениям 2 или 3 к настоящим Правилам. | Сверить сведения с заявкой и связанными разделами досье. | Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S. | Сверить качественный/количественный состав с формой заявки, 3.2.P.1, 3.2.P.3.2 и макетами/ОХЛП. | Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой. | Проверить наличие первичной, промежуточной (если есть) и вторичной упаковки; совпадение маркировки, макетов и упаковки в заявке. | Проверить описание аналитических методик; для нефармакопейных — валидация; для фармакопейных — верификация.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.2.1","1. Сертификат на фармацевтический продукт (заверенный в установленном порядке) согласно формату, рекомендованным ВОЗ; И/ИЛИ 2. Документ, подтверждающий регистрацию в стране-производителе и (или) в стране – держателе регистрационного удостоверения на лекарственный препарат (заверенный в установленном порядке); И/ИЛИ 3. Пояснительная записка с обоснованием отсутствия данных о регистрации лекарственного препарата;","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан или Регистрация в стране-производителе и других странах заполнено)","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры; Стабильность и регистрации: Регистрация в стране-производителе и других странах","Проверить наличие: 1. Сертификат на фармацевтический продукт (заверенный в установленном порядке) согласно формату, рекомендованным ВОЗ; И/ИЛИ 2. Документ, подтверждающий регистрацию в стране-производителе и (или) в стране – держателе регистрационного удостоверения на лекарственный препарат (заверенный в установленном порядке); И/ИЛИ 3. Пояснительная записка с обоснованием отсутствия данных о регистрации лекарственного препарата; | Учесть условие из памятки: 1. Лекарственная форма, дозировка, качественный и количественный состав лекарственного препарата соответствует информации, изложенной в заявлении на проведение экспертизы лекарственного средства, документах регистрационного досье – проекты ОХЛП, инструкции по медицинскому применению (ЛВ), НД по качеству, 2.3.Р.1. Описание и состав лекарственного препарата, 3.2.Р.1. Описание и состав лекарственного препарата. 2. Наименование и адрес производителя лекарственного препарата, соответствует информации изложенной в заявлении на проведение экспертизы лекарственного средства, разделах регистрационного досье - 3.2.Р.3.1. Производитель (Производители). 3.При отличии торгового наименования заявленного препарата в СРР и заявлением, разделами регдосье 2.3.Р.1. Описание и состав лекарственного препарата, 3.2.Р.1. Описание и состав лекарственного препарата - необходимо письмо-пояснение от ДРУ/производителя готового препарата 4. Необходимо указывать полный состав лекарственного препарата в СРР | Проверить заверение: нотариальное удостоверение/апостиль/легализация, если применимо. | Сверить сведения с заявкой и связанными разделами досье. | Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S. | Сверить качественный/количественный состав с формой заявки, 3.2.P.1, 3.2.P.3.2 и макетами/ОХЛП. | Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой. | Проверить наличие казахской и русской версий, структуру, актуальность, соответствие ДСМ-101/Реш.88 и данным заявки.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.2.1.sub1","Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или апостилированнный","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Производитель заполнено","Основное: Производитель; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры","Проверить наличие: Сертификат GMP (с указанием даты и результатов последней инспекции) (нотариально засвидетельствованный) или апостилированнный | Учесть условие из памятки: 1.Действующий сертификат соответствия требованиям надлежащей производственной практики (GMP), с даты инспекции которого прошло не более 3 (трех) лет; 2. Сертификат GMP необходимо представлять в полном объеме, с указанием всех страниц, частей. 3. Наименование и адрес производственной площадки лекарственного препарата соответствует информации изложенной в заявлении на проведение экспертизы лекарственного средства, документах регистрационного досье - проекты ОХЛП, инструкции по медицинскому применению (ЛВ), НД по качеству, 2.3.Р.1. Описание и состав лекарственного препарата, 3.2.Р.1. Описание и состав лекарственного препарата. 4.В случае, если производство лекарственного препарата осуществляется на разных производственных площадках сертификат GMP представляется на каждого производителя. | Проверить заверение: нотариальное удостоверение/апостиль/легализация, если применимо. | Проверить дату выдачи, срок действия и актуальность документа. | Сверить сведения с заявкой и связанными разделами досье. | Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S. | GMP: сертификат в полном объёме; дата инспекции не старше установленного срока; охват заявленной площадки и операции. | Сверить качественный/количественный состав с формой заявки, 3.2.P.1, 3.2.P.3.2 и макетами/ОХЛП. | Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой. | Проверить наличие казахской и русской версий, структуру, актуальность, соответствие ДСМ-101/Реш.88 и данным заявки. | проверить действительность сертификата и дату последней инспекции | сверить наименование и адрес производственной площадки с заявкой | если площадок несколько — проверить наличие документов по каждой площадке","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.2.2","Копии действующих патентов* в отношении регистрируемого лекарственного препарата И/ИЛИ Копию лицензионного соглашения, которое дает право на производство и продажу зарегистрированного лекарственного препарата ИЛИ Письменное подтверждение ДРУ/производителя, что регистрация лекарственного препарата не нарушает прав третьих лиц на интеллектуальную собственность#","Условие есть, но требуется уточнить/добавить поле в форме","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); (Есть действующий патент или лицензионное соглашение = Да или Тип лекарственного средства = Оригинальный или Патент / товарный знак: документ, номер, даты заполнено)","Классификация: Тип лекарственного средства; Нет в текущей форме / требуется уточнение: Есть действующий патент или лицензионное соглашение; Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры; Стабильность и регистрации: Патент / товарный знак: документ, номер, даты","Проверить наличие: Копии действующих патентов* в отношении регистрируемого лекарственного препарата И/ИЛИ Копию лицензионного соглашения, которое дает право на производство и продажу зарегистрированного лекарственного препарата ИЛИ Письменное подтверждение ДРУ/производителя, что регистрация лекарственного препарата не нарушает прав третьих лиц на интеллектуальную собственность# | Учесть условие из памятки: * Для оригинальных лекарственных препаратов, и возможно для воспроизведенных, гибридных, биосимиляров при наличии лицензионного соглашения # Для воспроизведенных, гибридных, биосимиляров, ХИП и др. | Проверить дату выдачи, срок действия и актуальность документа. | Сверить наименование, адрес и роль каждой производственной площадки с заявкой и 3.2.P/3.2.S. | Сверить указанный оригинальный/референтный препарат с данными в форме заявки и исследованиях эквивалентности/сопоставимости.","Не хватает явного поля или значения в форме","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.2.3.","Перечень стран, в которых лекарственный препарат подан на регистрацию, зарегистрирован, получил отказ в регистрации или его обращение на рынке было приостановлено с указанием номера, даты выдачи и срока действия регистрационного удостоверения Или Копии сертификата о регистрации/ регистрационного удостоверения","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Регистрация в стране-производителе и других странах заполнено","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры; Стабильность и регистрации: Регистрация в стране-производителе и других странах","Проверить наличие: Перечень стран, в которых лекарственный препарат подан на регистрацию, зарегистрирован, получил отказ в регистрации или его обращение на рынке было приостановлено с указанием номера, даты выдачи и срока действия регистрационного удостоверения Или Копии сертификата о регистрации/ регистрационного удостоверения | Учесть условие из памятки: Информация должна соответствовать данным раздела 19 заявления на проведение экспертизы лекарственного средства | Проверить дату выдачи, срок действия и актуальность документа. | Сверить сведения с заявкой и связанными разделами досье. | Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
"Модуль 1","1.2.4","Свидетельство на товарный знак с указанием даты выдачи и сроком действия, признаваемый на территории Республики Казахстан и имеющий статус действующего","Обязателен при выполнении условий","Тип объекта = Лекарственное средство; Тип процедуры = Регистрация; (Структура досье = CTD / Приложение 3 или иностранный производитель или Страна производителя не равно Казахстан); Патент / товарный знак: документ, номер, даты заполнено","Основное: Страна производителя; Основное: Структура досье; Основное: Тип объекта; Основное: Тип процедуры; Стабильность и регистрации: Патент / товарный знак: документ, номер, даты","Проверить наличие: Свидетельство на товарный знак с указанием даты выдачи и сроком действия, признаваемый на территории Республики Казахстан и имеющий статус действующего | Учесть условие из памятки: Информация должна соответствовать данным раздела 20 заявления на проведение экспертизы лекарственного средства | Проверить дату выдачи, срок действия и актуальность документа. | Сверить сведения с заявкой и связанными разделами досье. | Сверить лекарственную форму, дозировку/концентрацию и количество единиц упаковки с заявкой.","Готово к автоматизации","Памятка заявителю; рег.досье ЛС Приложение 3; НПА из архива ЛС"
